timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1640862172500,383,GET All Activities,200,OK,Stree Test 1-1,text,true,,4419,897,1,1,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_706ed41b0d6e00452d0bd8d080b5ae38a5af9270fd5b_NnG67YKe_,124,0,75
1640862172500,124,GET All Activities-0,302,Moved Temporarily,Stree Test 1-1,text,true,,760,215,1,1,http://eqrkelava-appservice.azurewebsites.net/api/Activities,124,0,75
1640862172625,147,GET All Activities-1,302,Moved Temporarily,Stree Test 1-1,text,true,,499,393,1,1,http://eqrkelava-appservice.azurewebsites.net.x.706ed41b0d6e00452d0bd8d080b5ae38a5af.9270fd5b.id.opendns.com/h/eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_706ed41b0d6e00452d0bd8d080b5ae38a5af9270fd5b_NnG67YKe_,147,0,99
1640862172773,110,GET All Activities-2,200,OK,Stree Test 1-1,text,true,,3160,289,1,1,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_706ed41b0d6e00452d0bd8d080b5ae38a5af9270fd5b_NnG67YKe_,110,0,0
1640862172883,48,Post All Activities,307,Temporary Redirect,Stree Test 1-1,text,false,Test failed: code expected to contain /200/,763,312,1,1,http://eqrkelava-appservice.azurewebsites.net/api/Activities,48,0,0
1640862172931,0,Get Specified Activity,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 65: http://eqrkelava-appservice.azurewebsites.net/api/Activities/?id=<EOF>,Stree Test 1-1,text,false,Test failed: code expected to contain /200/,1158,0,1,1,http://eqrkelava-appservice.azurewebsites.net/api/Activities/?id=<EOF>,0,0,0
1640862172931,0,Put Specified Activity,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 61: http://eqrkelava-appservice.azurewebsites.net/api/Activities/<EOF>,Stree Test 1-1,text,false,Test failed: code expected to contain /200/,1153,0,1,1,http://eqrkelava-appservice.azurewebsites.net/api/Activities/<EOF>,0,0,0
