timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1640861771326,173,GET All Activities-1,302,Moved Temporarily,Endurance Test 1-7,text,true,,499,361,10,10,http://eqrkelava-appservice.azurewebsites.net.x.fdf933a90d663048510a2fd00b281189749d.9270fd4b.id.opendns.com/h/eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_fdf933a90d663048510a2fd00b281189749d9270fd4b_AFmyiJj8_,173,0,121
1640861771500,46,GET All Activities-2,200,OK,Endurance Test 1-7,text,true,,3160,257,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_fdf933a90d663048510a2fd00b281189749d9270fd4b_AFmyiJj8_,46,0,0
1640861771547,0,Get Specified Activity,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 65: http://eqrkelava-appservice.azurewebsites.net/api/Activities/?id=<EOF>,Endurance Test 1-10,text,false,Test failed: code expected to contain /200/,1158,0,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities/?id=<EOF>,0,0,0
1640861771547,0,Put Specified Activity,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 61: http://eqrkelava-appservice.azurewebsites.net/api/Activities/<EOF>,Endurance Test 1-10,text,false,Test failed: code expected to contain /200/,1153,0,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities/<EOF>,0,0,0
1640861771297,253,GET All Activities,200,OK,Endurance Test 1-2,text,true,,4419,801,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_3cc1033f0ca61048d30aa130ae68ff30f3cb9270fd59_l16dMFeH_,28,0,0
1640861771297,28,GET All Activities-0,302,Moved Temporarily,Endurance Test 1-2,text,true,,760,183,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities,28,0,0
1640861771326,173,GET All Activities-1,302,Moved Temporarily,Endurance Test 1-2,text,true,,499,361,10,10,http://eqrkelava-appservice.azurewebsites.net.x.3cc1033f0ca61048d30aa130ae68ff30f3cb.9270fd59.id.opendns.com/h/eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_3cc1033f0ca61048d30aa130ae68ff30f3cb9270fd59_l16dMFeH_,173,0,124
1640861771500,50,GET All Activities-2,200,OK,Endurance Test 1-2,text,true,,3160,257,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_3cc1033f0ca61048d30aa130ae68ff30f3cb9270fd59_l16dMFeH_,50,0,0
1640861771340,229,GET All Activities,200,OK,Endurance Test 1-4,text,true,,4419,801,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_10b8570c0430404f540b12e09739ad36893a9270fd5b_GYdYrfhW_,28,0,0
1640861771340,28,GET All Activities-0,302,Moved Temporarily,Endurance Test 1-4,text,true,,760,183,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities,28,0,0
1640861771369,152,GET All Activities-1,302,Moved Temporarily,Endurance Test 1-4,text,true,,499,361,10,10,http://eqrkelava-appservice.azurewebsites.net.x.10b8570c0430404f540b12e09739ad36893a.9270fd5b.id.opendns.com/h/eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_10b8570c0430404f540b12e09739ad36893a9270fd5b_GYdYrfhW_,152,0,123
1640861771521,48,GET All Activities-2,200,OK,Endurance Test 1-4,text,true,,3160,257,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_10b8570c0430404f540b12e09739ad36893a9270fd5b_GYdYrfhW_,48,0,0
1640861771284,288,GET All Activities,200,OK,Endurance Test 1-9,text,true,,4419,801,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_a4408d8d0e86e04b5e0bf4401f8f295d8a3b9270fd4b_XCjJumZN_,47,0,0
1640861771284,47,GET All Activities-0,302,Moved Temporarily,Endurance Test 1-9,text,true,,760,183,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities,47,0,0
